se_id	SElet_id	gene_name	transcript_id	reads_2i_1	reads_2i_2	reads_ser_1	reads_ser_2	reads_sahlen	fpkm_2i_1	fpkm_2i_2	fpkm_ser_1	fpkm_ser_2	fpkm_sahlen	score_2i	score_ser	score_sahlen	nb_pmt_joshi	nb_pmt_sahlen	distance
5499	275	Gm2a	ENSMUST00000000608	2.2439102908924	6.04430383727317	0	4.62733753023528	0	397.580022243597	1070.94052013747	0	819.879905924366	0	3.97	6.29	7.29	2	2	144009
5499	276	Gm2a	ENSMUST00000000608	0	0	0.936371975823725	0	0	0	0	131.548398292706	0	0	3.97	6.29	7.29	2	2	143671
5499	277	Gm2a	ENSMUST00000000608	0	0	0.936371975823725	0.925467506047057	0	0	0	78.0058923209379	77.0974788728877	0	3.97	6.29	7.29	2	2	143101
5499	278	Gm2a	ENSMUST00000000608	0	0	0	0.925467506047057	2.04259137520027	0	0	0	70.7658018640032	156.186592832352	3.97	6.29	7.29	2	2	142480
5499	280	Gm2a	ENSMUST00000000608	3.3658654363386	9.49819174428642	0.936371975823725	6.4782725423294	7.14906981320095	193.261389288907	545.367533834041	53.7646416238629	371.969698552384	410.485561694217	3.97	6.29	7.29	2	2	141621
5499	283	Gm2a	ENSMUST00000000608	4.4878205817848	26.7676312793526	10.300091734061	16.658415108847	9.19166118840122	38.1289840620089	227.420541402809	87.5106360444231	141.531603728006	78.0932964161761	3.97	6.29	7.29	2	2	135320
5499	284	Gm2a	ENSMUST00000000608	0	0.863471976753311	0	0.925467506047057	5.10647843800067	0	75.5096183627577	0	80.9310551704346	446.555590004101	3.97	6.29	7.29	2	2	134777
5499	285	Gm2a	ENSMUST00000000608	5.609775727231	16.4059675583129	7.4909758065898	18.5093501209411	8.17036550080108	29.62395628372	86.6362024742628	39.558148241045	97.743689852193	43.1458514897201	3.97	6.29	7.29	2	2	125785
5597	312	Myo18a	ENSMUST00000000645	4.4878205817848	2.59041593025993	0.936371975823725	0.925467506047057	1.02129568760014	964.266479287638	556.584472004218	201.19166797708	198.848701165366	219.438629296133	0	0	6.77	1	3	106937
5597	313	Myo18a	ENSMUST00000000645	0	2.59041593025993	0.936371975823725	1.85093501209411	4.08518275040054	0	98.4041346503458	35.5706868983477	70.3129007320736	155.186998638225	0	0	6.77	1	3	107158
5597	314	Myo18a	ENSMUST00000000645	0	1.72694395350662	0	0	6.12777412560081	0	46.4608756611642	0	0	164.858709601514	0	0	6.77	1	3	108408
5597	315	Myo18a	ENSMUST00000000645	0	0.863471976753311	0	0	1.02129568760014	0	90.7117760419854	0	0	107.291896182401	0	0	6.77	1	3	110173
5597	316	Myo18a	ENSMUST00000000645	1.1219551454462	8.63471976753311	1.87274395164745	4.62733753023528	9.19166118840122	11.4203050333638	87.8922245894478	19.0625331716762	47.1013536522465	93.5612933912129	0	0	6.77	1	3	110625
5597	317	Myo18a	ENSMUST00000000645	0	2.59041593025993	1.87274395164745	0	8.17036550080108	0	71.1835464773913	51.4622206283966	0	224.518227196506	0	0	6.77	1	3	115290
5597	320	Myo18a	ENSMUST00000000645	0	0.863471976753311	1.87274395164745	0.925467506047057	3.06388706280041	0	19.9424721648723	43.2522943802866	21.3743010493901	70.7625540969533	0	0	6.77	1	3	117406
5597	321	Myo18a	ENSMUST00000000645	0	2.59041593025993	0	0	5.10647843800067	0	175.221037482809	0	0	345.412657225394	0	0	6.77	1	3	119462
5597	322	Myo18a	ENSMUST00000000645	0	3.45388790701324	0.936371975823725	4.62733753023528	9.19166118840122	0	26.0991233424427	7.07564586615764	34.9662340527896	69.456307076704	0	0	6.77	1	3	120164
5597	323	Myo18a	ENSMUST00000000645	3.3658654363386	4.31735988376655	0.936371975823725	0.925467506047057	2.04259137520027	113.675084595964	145.809824932352	31.6240104003803	31.2557346781977	68.9842632637914	0	0	6.77	1	3	126448
5597	324	Myo18a	ENSMUST00000000645	1.1219551454462	2.59041593025993	0.936371975823725	3.70187002418823	0	320.938090244831	740.994989836941	267.851557969486	1058.92922789267	0	0	0	6.77	1	3	127854
1210	954	E2f1	ENSMUST00000000894	23.5610580543702	39.7197109306523	16.854695564827	23.1366876511764	11.2342525636015	264.364409875586	445.670899684537	189.116364653314	259.602805751099	126.052766497849	7.5	6.82	7.97	6	5	148574
1210	955	E2f1	ENSMUST00000000894	3.3658654363386	8.63471976753311	4.68185987911862	11.1056100725647	7.14906981320095	91.5390429220653	234.83231827593	127.329205678507	302.031360532962	194.428155510377	7.5	6.82	7.97	6	5	146828
1210	956	E2f1	ENSMUST00000000894	26.9269234907088	18.1329115118195	6.55460383076607	19.4348176269882	4.08518275040054	378.401110250195	254.819821897167	92.1111306186867	273.11536611674	57.4086263089025	7.5	6.82	7.97	6	5	143449
