type	motif	tf	sample_hit	sample_size	frac	pop_hit	pval	fdr
PU	E2F_Average_27	E2F1	147	669	0.219730941704036	283	3.12813144737727e-85	5.48674255869974e-82
PU	E2F_Average_27	E2F3	147	669	0.219730941704036	283	3.12813144737727e-85	5.48674255869974e-82
PU	CxxC_M0548_1.01	MBD1	96	669	0.143497757847534	248	7.05938791507994e-41	4.12738880101674e-38
PU	C2H2_ZF_M6302_1.01	GLI1.2	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP1	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP2	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP3	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP4	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP5	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP6	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP7	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP8	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	C2H2_ZF_M6302_1.01	SP9	116	669	0.17339312406577	359	4.38819444856276e-40	1.92422326569477e-37
PU	MBD_Average_1	MBD2	90	669	0.134529147982063	242	1.09421525954595e-36	3.8385071304872e-34
PU	MBD_Average_1	MECP2	90	669	0.134529147982063	242	1.09421525954595e-36	3.8385071304872e-34
PU	C2H2_ZF_Average_205	PLAGL1	140	669	0.209267563527653	586	5.73456547534618e-32	1.6764046406262e-29
PU	C2H2_ZF_Average_205	ZBTB7B	140	669	0.209267563527653	586	5.73456547534618e-32	1.6764046406262e-29
PU	C2H2_ZF_Average_205	ZFP202	140	669	0.209267563527653	586	5.73456547534618e-32	1.6764046406262e-29
PU	C2H2_ZF_Average_205	ZNF202	140	669	0.209267563527653	586	5.73456547534618e-32	1.6764046406262e-29
PU	C2H2_ZF_M4510_1.01	ZBTB7A	94	669	0.14050822122571	297	1.15320627534886e-31	2.889605438517e-29
PU	C2H2_ZF_M4510_1.01	ZBTB7C	94	669	0.14050822122571	297	1.15320627534886e-31	2.889605438517e-29
PU	C2H2_ZF_Average_210	MZF1	501	669	0.748878923766816	4167	1.90559582658153e-31	4.17801884978001e-29
PU	C2H2_ZF_Average_210	ZSCAN10	501	669	0.748878923766816	4167	1.90559582658153e-31	4.17801884978001e-29
PU	AP-2_M5965_1.01	TCFAP2D	91	669	0.136023916292975	289	1.77632935548917e-30	3.46186854392001e-28
PU	AP-2_M5965_1.01	TFAP2A	91	669	0.136023916292975	289	1.77632935548917e-30	3.46186854392001e-28
PU	AP-2_M5965_1.01	TFAP2C	91	669	0.136023916292975	289	1.77632935548917e-30	3.46186854392001e-28
PU	AP-2_M5965_1.01	TFAP2D	91	669	0.136023916292975	289	1.77632935548917e-30	3.46186854392001e-28
PU	AP-2_M5965_1.01	TFAP2E	91	669	0.136023916292975	289	1.77632935548917e-30	3.46186854392001e-28
PU	C2H2_ZF_Average_221	GLI1.2	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF1	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF10	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF11	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF12	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF13	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF14	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF16	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF17	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF2	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF3	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF4	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF5	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF6	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF7	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF8	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	KLF9	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	LOC422310	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP1	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP2	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP3	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP4	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP5	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP6	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP7	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP8	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	SP9	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_Average_221	WT1	139	669	0.207772795216741	604	7.10578487765524e-30	1.24635466754073e-27
PU	C2H2_ZF_M0401_1.01	ZFP161	83	669	0.12406576980568	267	2.00656026001762e-27	3.19955154188264e-25
PU	E2F_Average_28	E2F1	72	669	0.10762331838565	217	6.5109794809559e-26	9.51688167466387e-24
PU	E2F_Average_28	E2F3	72	669	0.10762331838565	217	6.5109794809559e-26	9.51688167466387e-24
PU	E2F_Average_28	E2F4	72	669	0.10762331838565	217	6.5109794809559e-26	9.51688167466387e-24
PU	E2F_Average_28	E2F5	72	669	0.10762331838565	217	6.5109794809559e-26	9.51688167466387e-24
PU	E2F_Average_28	E2F6	72	669	0.10762331838565	217	6.5109794809559e-26	9.51688167466387e-24
PU	C2H2_ZF_M6358_1.01	ZBTB7B	92	669	0.137518684603886	344	8.16803353572742e-25	1.10205621705122e-22
PU	C2H2_ZF_Average_180	EGR1	73	669	0.109118086696562	254	6.17051859704341e-22	7.73077829943867e-20
PU	C2H2_ZF_Average_180	EGR2	73	669	0.109118086696562	254	6.17051859704341e-22	7.73077829943867e-20
PU	C2H2_ZF_Average_180	EGR3	73	669	0.109118086696562	254	6.17051859704341e-22	7.73077829943867e-20
PU	C2H2_ZF_Average_180	EGR4	73	669	0.109118086696562	254	6.17051859704341e-22	7.73077829943867e-20
PU	C2H2_ZF_M2193_1.01	ZBTB33	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	E2F_Average_31	E2F1	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	E2F_Average_31	E2F2	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	E2F_Average_31	E2F3	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	E2F_Average_31	E2F4	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	E2F_Average_31	E2F5	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	E2F_Average_31	E2F7	61	669	0.0911808669656203	190	2.54554037664063e-21	2.7905486378923e-19
PU	C2H2_ZF_Average_216	EGR1	69	669	0.103139013452915	244	2.28973470614755e-20	2.36246745563694e-18
PU	C2H2_ZF_Average_216	EGR2	69	669	0.103139013452915	244	2.28973470614755e-20	2.36246745563694e-18
PU	C2H2_ZF_Average_216	EGR3	69	669	0.103139013452915	244	2.28973470614755e-20	2.36246745563694e-18
PU	C2H2_ZF_Average_216	EGR4	69	669	0.103139013452915	244	2.28973470614755e-20	2.36246745563694e-18
PU	DP_E2F_M6334_1.01	TFDP1	59	669	0.0881913303437967	189	5.5483631807768e-20	5.40657167726806e-18
PU	DP_E2F_M6334_1.01	TFDP2	59	669	0.0881913303437967	189	5.5483631807768e-20	5.40657167726806e-18
PU	DP_E2F_M6334_1.01	TFDP3	59	669	0.0881913303437967	189	5.5483631807768e-20	5.40657167726806e-18
PU	C2H2_ZF_M6020_1.01	EGR1	81	669	0.121076233183857	328	1.46577027560456e-19	1.35313740179494e-17
PU	C2H2_ZF_M6020_1.01	EGR2	81	669	0.121076233183857	328	1.46577027560456e-19	1.35313740179494e-17
PU	C2H2_ZF_M6020_1.01	EGR4	81	669	0.121076233183857	328	1.46577027560456e-19	1.35313740179494e-17
PU	C2H2_ZF_M5334_1.01	HINFP	30	669	0.0448430493273543	55	2.24574049057979e-19	1.96951441023848e-17
PU	Unknown_M6200_1.01	NR0B1	63	669	0.0941704035874439	223	1.07006354055722e-18	8.93757833398741e-17
PU	C2H2_ZF_M0382_1.01	ZBTB1	57	669	0.0852017937219731	192	3.44185631937407e-18	2.74409817462823e-16
PU	AP-2_Average_17	TCFAP2D	71	669	0.106128550074738	280	5.57706777984749e-18	4.25312038515326e-16
PU	AP-2_Average_17	TFAP2A	71	669	0.106128550074738	280	5.57706777984749e-18	4.25312038515326e-16
PU	AP-2_Average_17	TFAP2C	71	669	0.106128550074738	280	5.57706777984749e-18	4.25312038515326e-16
PU	AP-2_Average_17	TFAP2E	71	669	0.106128550074738	280	5.57706777984749e-18	4.25312038515326e-16
PU	CxxC_Average_3	KDM2B	665	669	0.994020926756353	7169	6.47406949238076e-18	4.73146578734827e-16
PU	C2H2_ZF_Average_123	ZIC1	68	669	0.101644245142003	262	7.29982249208484e-18	5.12155546044672e-16
PU	C2H2_ZF_Average_123	ZIC2	68	669	0.101644245142003	262	7.29982249208484e-18	5.12155546044672e-16
PU	C2H2_ZF_Average_123	ZIC3	68	669	0.101644245142003	262	7.29982249208484e-18	5.12155546044672e-16
PU	C2H2_ZF_Average_123	ZIC4	68	669	0.101644245142003	262	7.29982249208484e-18	5.12155546044672e-16
PU	C2H2_ZF_Average_123	ZIC5	68	669	0.101644245142003	262	7.29982249208484e-18	5.12155546044672e-16
PU	C2H2_ZF_Average_122	ZFP148	82	669	0.122571001494768	368	7.7044425399996e-17	5.17435046025125e-15
PU	C2H2_ZF_Average_122	ZFP281	82	669	0.122571001494768	368	7.7044425399996e-17	5.17435046025125e-15
PU	C2H2_ZF_Average_122	ZNF148	82	669	0.122571001494768	368	7.7044425399996e-17	5.17435046025125e-15
PU	C2H2_ZF_Average_122	ZNF281	82	669	0.122571001494768	368	7.7044425399996e-17	5.17435046025125e-15
PU	C2H2_ZF_Average_187	HINFP	63	669	0.0941704035874439	241	7.96507767541526e-17	5.17435046025125e-15
PM	ARID_BRIGHT_Average_2	ARID5A	1781	5108	0.348668754894283	2464	1.13552858642195e-14	7.11327550208607e-13
PM	ARID_BRIGHT_Average_2	ARID5B	1781	5108	0.348668754894283	2464	1.13552858642195e-14	7.11327550208607e-13
PU	EIN3_Average_1	BRCA1	46	669	0.0687593423019432	160	2.00076492195534e-14	1.21011781831368e-12
PM	HSF_M4439_1.01	HSF1	257	5108	0.0503132341425215	303	4.08268996253785e-14	2.38701273143046e-12
PM	HSF_M4439_1.01	HSF4	257	5108	0.0503132341425215	303	4.08268996253785e-14	2.38701273143046e-12
PU	C2H2_ZF_M6144_1.01	KLF12	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF17	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF2	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF3	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF4	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF5	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF6	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF7	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	KLF8	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PU	C2H2_ZF_M6144_1.01	LOC422310	43	669	0.0642750373692078	146	5.09253720853513e-14	2.88139040766794e-12
PM	AT_hook_M0131_1.01	AHCTF1	482	5108	0.0943617854346124	608	1.08146711246067e-13	5.92779161017505e-12
PM	Homeodomain_Average_187	RHOX11	4595	5108	0.899569303054033	6775	2.04099437089533e-13	1.084819432288e-11
PU	GCM_Average_8	GCM1	47	669	0.070254110612855	178	3.75889815791527e-13	1.93914922617158e-11
PU	GCM_Average_8	GCM2	47	669	0.070254110612855	178	3.75889815791527e-13	1.93914922617158e-11
PU	Sox_Average_66	SOX1	47	669	0.070254110612855	181	7.41294818885747e-13	3.714946035216e-11
PU	Sox_Average_66	SOX14	47	669	0.070254110612855	181	7.41294818885747e-13	3.714946035216e-11
PU	Sox_Average_66	SOX2	47	669	0.070254110612855	181	7.41294818885747e-13	3.714946035216e-11
PU	Sox_Average_66	SOX21	47	669	0.070254110612855	181	7.41294818885747e-13	3.714946035216e-11
PU	Sox_Average_66	SOX3	47	669	0.070254110612855	181	7.41294818885747e-13	3.714946035216e-11
PU	AP-2_Average_15	TCFAP2A	56	669	0.0837070254110613	242	1.13537273578661e-12	5.53178827380476e-11
PU	AP-2_Average_15	TCFAP2D	56	669	0.0837070254110613	242	1.13537273578661e-12	5.53178827380476e-11
PU	AP-2_Average_15	TFAP2A	56	669	0.0837070254110613	242	1.13537273578661e-12	5.53178827380476e-11
PU	AP-2_Average_15	TFAP2B	56	669	0.0837070254110613	242	1.13537273578661e-12	5.53178827380476e-11
PU	AP-2_Average_15	TFAP2C	56	669	0.0837070254110613	242	1.13537273578661e-12	5.53178827380476e-11
PU	AP-2_Average_15	TFAP2E	56	669	0.0837070254110613	242	1.13537273578661e-12	5.53178827380476e-11
DM	CxxC_Average_3	KDM2B	1848	1920	0.9625	7169	1.38367611200014e-11	6.55937270391416e-10
PU	C2H2_ZF_Average_137	ZFA	514	669	0.76831091180867	5049	1.60922707490406e-11	7.4278533931098e-10
PU	C2H2_ZF_Average_137	ZFP711	514	669	0.76831091180867	5049	1.60922707490406e-11	7.4278533931098e-10
PU	C2H2_ZF_Average_137	ZFX	514	669	0.76831091180867	5049	1.60922707490406e-11	7.4278533931098e-10
PU	C2H2_ZF_Average_137	ZFY	514	669	0.76831091180867	5049	1.60922707490406e-11	7.4278533931098e-10
PU	C2H2_ZF_Average_137	ZFY1	514	669	0.76831091180867	5049	1.60922707490406e-11	7.4278533931098e-10
DM	Nuclear_receptor_Average_168	NR2E1	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	NR2F1	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	NR2F2	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	NR2F5	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	NR2F6	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	RARA	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	RARB	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	RARG	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	RORA	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	RORB.2	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
DM	Nuclear_receptor_Average_168	RORC	517	1920	0.269270833333333	1655	2.12758709105018e-11	9.56868655821028e-10
PU	Unknown_Average_5	NRF1	43	669	0.0642750373692078	176	5.94128789177358e-11	2.60525474054272e-09
PU	Unknown_M3386_1.01	LMO2	46	669	0.0687593423019432	198	8.98331481749547e-11	3.84310589997245e-09
DM	Nuclear_receptor_Average_174	AL662824.5	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	AL844527.7	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	CR354565.3	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	CR759733.4	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	CR936877.3	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	ESR1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	ESR2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	ESRRA	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	ESRRB	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	ESRRG	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	ESRRGR	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NP_001039261.1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR1I2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR1I3	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2C1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2C2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2E1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2F1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2F2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2F5	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR2F6	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR4A1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR4A2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR4A3	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR5A1	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	NR5A2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	PPARA	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	PPARD	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	PPARG	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RARA	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RARB	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RARG	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RORA	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RORB	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RORB.2	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RORC	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RXRA	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RXRB	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	RXRG	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	THRA	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	THRB	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
DM	Nuclear_receptor_Average_174	VDR	237	1920	0.1234375	670	1.04361785088267e-10	4.35834692963859e-09
PM	Homeodomain_Average_351	DBX1	4002	5108	0.783476898981989	5863	1.85173760995069e-10	7.06075601707286e-09
PM	Homeodomain_Average_351	DBX2	4002	5108	0.783476898981989	5863	1.85173760995069e-10	7.06075601707286e-09
PM	Homeodomain_Average_351	EN1	4002	5108	0.783476898981989	5863	1.85173760995069e-10	7.06075601707286e-09
PM	Homeodomain_Average_351	EN2	4002	5108	0.783476898981989	5863	1.85173760995069e-10	7.06075601707286e-09
PM	Homeodomain_Average_383	HLX	4002	5108	0.783476898981989	5863	1.85173760995069e-10	7.06075601707286e-09
