gene_name	se_id	transcript_id	ensembl_gene_id	chr	start	end	strand	tss	gene_type	gene_status	reads_2i_1	reads_2i_2	reads_ser_1	reads_ser_2	reads_sahlen	score_2i	score_ser	score_sahlen	rpkm_2i	rpkm_ser	rpkm_episc	reads_ser	in.joshi	in.sahlen	in.dowen	in.novo
0610005C13Rik	3568	ENSMUST00000133678	ENSMUSG00000085214	chr7	52827716	52832716	-	52830216	lincRNA	KNOWN	5	8	10	16	12	5.22	10.15	4.36				12.6491106406735	1	0	0	0
1110002J07Rik	5054	ENSMUST00000152840	ENSMUSG00000087275	chr10	66380506	66385506	-	66383006	lincRNA	KNOWN	13	26	43	27	0	6.96	9.52	0				34.0734500748016	1	0	0	0
1110002J07Rik	5059	ENSMUST00000152840	ENSMUSG00000087275	chr10	66380506	66385506	-	66383006	lincRNA	KNOWN	9	9	19	17	8	13.65	27.41	10.43				17.9722007556114	1	1	0	0
1110008L16Rik	6000	ENSMUST00000021411	ENSMUSG00000021023	chr12	56401124	56406124	+	56403624	protein_coding	KNOWN	14	10	32	16	12	18.7	44.27	11.95	12.4	13.6	12.1	22.6274169979695	1	1	0	1
1110012J17Rik	7876	ENSMUST00000129525	ENSMUSG00000052105	chr17	66693385	66698385	-	66695885	protein_coding	KNOWN	2	7	9	3	14	6.06	11.86	14.02	5	10.8	8.5	15.8745078663875	1	1	1	1
1110038F14Rik	7248	ENSMUST00000071792	ENSMUSG00000063236	chr15	76776469	76781469	+	76778969	protein_coding	KNOWN	2	0	1	0	5	0	0	5.55	17.6	20.7	18.9	0	0	1	0	0
1600002K03Rik	5111	ENSMUST00000041882	ENSMUSG00000035595	chr10	79633189	79638189	+	79635689	protein_coding	KNOWN	0	1	0	4	15	0	0	12.48	9.6	7.6	8	0	0	1	0	0
1600029O15Rik	4555	ENSMUST00000171832	ENSMUSG00000057818	chr9	58048204	58053204	+	58050704	protein_coding	KNOWN	6	2	12	7	11	3.58	10.62	13.97	0.2	0.1	0.1	9.16515138991168	1	1	1	0
1700001K19Rik	6186	ENSMUST00000070659	ENSMUSG00000056508	chr12	111918329	111923329	-	111920829	protein_coding	KNOWN	13	14	10	6	10	26.77	13.78	13.07	0.1	0.1	0.1	7.74596669241483	1	1	0	0
1700001P01Rik	5711	ENSMUST00000107576	ENSMUSG00000018543	chr11	97634732	97639732	-	97637232	protein_coding	KNOWN	1	4	3	1	7	0	0	10.45	1.6	1.2	0.4	1.73205080756888	0	1	0	0
1700003F12Rik	1210	ENSMUST00000135641	ENSMUSG00000038523	chr2	154370321	154375321	+	154372821	protein_coding	KNOWN	3	17	9	8	12	13.6	10.88	11.32	0.2	0.3	0.7	8.48528137423857	1	1	0	0
1700007I08Rik	1210	ENSMUST00000104928	ENSMUSG00000078129	chr2	154375012	154380012	+	154377512	protein_coding	KNOWN	9	9	8	7	12	14.97	11.85	11.32	0.2	0.2	0.1	7.48331477354788	1	1	0	0
1700012A16Rik	508																						0	0	0	1
1700013G24Rik	2265	ENSMUST00000048893	ENSMUSG00000041399	chr4	137006699	137011699	+	137009199	protein_coding	KNOWN	2	1	6	5	0	0	6.56	0	0	0.1	0	5.47722557505166	1	0	0	1
1700026D08Rik	3685	ENSMUST00000165670	ENSMUSG00000011154	chr7	90929933	90934933	-	90932433	protein_coding	KNOWN	1	6	11	8	10	0	8	7.34	0	0.1	0.6	9.38083151964686	1	1	0	0
1700031A10Rik	7792	ENSMUST00000174380	ENSMUSG00000092239	chr17	37058237	37063237	+	37060737	processed_transcript	NOVEL	14	7	21	9	7	15.49	20.34	6.06				13.7477270848675	1	1	0	0
