Chr	Start	End	type	GeneID	Esrrb_Exo	H3K27ac_FF	H3K27ac_KO	Med1_FF	Med1_KO	Esrrb_Exo_RPKM	H3K27ac_FF_RPKM	H3K27ac_KO_RPKM	Med1_FF_RPKM	Med1_KO_RPKM
chr1	3904119	3904709	INT	TE_00001	14.3786628431685	23.5302469323043	24.8114927617334	40.5457925067697	43.0681465702288	16.6367226764709	27.2254935658094	28.7079493252282	46.9132013866886	49.8316720055038
chr1	4845264	4846195	INT	TE_00002	65.2570082882263	140.728976845128	217.789769797438	96.5943880308337	213.618006988335	47.8496501997812	103.189412013351	159.694178070043	70.827759343838	156.635236258761
chr1	4960611	4960954	INT	TE_00003	193.558922888807	113.12618717454	14.7031068217679	91.8242947947432	37.8999689818013	385.230234659256	225.149153451272	29.2628270845648	182.753107442742	75.4303326683894
chr1	4960955	4962758	DM	TE_00004	462.329312957264	457.482300933839	45.0282646416643	404.265401758674	172.272586280915	175.047934914939	173.21275072603	17.048680491205	153.063675073433	65.2261486039872
chr1	4962759	4962888	INT	TE_00005	63.0449063123542	6.78757123047239	0	29.813082725566	5.16817758842745	333.627300900248	35.9191440157146	0	157.767834120761	27.3494757983695
chr1	5222189	5223267	INT	TE_00006	54.1964984088659	123.986301143296	101.083859399655	98.979434648879	115.422632808213	34.3205118150973	78.5156502399163	64.0124342474855	62.679784784081	73.0926157468484
chr1	6049015	6049725	INT	TE_00007	224.528350551016	11.312618717454	11.9462742926864	44.1233624338376	82.6908414148392	215.880853191866	10.8769238920826	11.4861748213094	42.4239928032896	79.5060817575136
chr1	6132850	6133403	INT	TE_00008	45.3480905053776	30.7703229114748	37.6767112307803	44.1233624338376	41.3454207074196	55.9802923276994	37.9846571797285	46.510300326654	54.4684175232109	51.0391664085305
chr1	6272179	6272472	INT	TE_00009	8.84840790348831	29.8653134140785	26.6493811144544	22.6579428714301	41.3454207074196	20.6157340595806	69.5826148236163	62.0898764953426	52.7903019017044	96.3298942795814
chr1	6272473	6272953	DM	TE_00010	45.3480905053776	47.9655033620049	80.8670875197236	51.2785022879735	39.6226948446104	64.4939617858704	68.2164410098446	115.009006864649	72.9281813223216	56.3513157595572
chr1	6272954	6272970	INT	TE_00011	6.63630592761623	12.6701329635485	24.8114927617334	7.15513985413583	5.16817758842745	283.144222474553	540.583117436504	1058.60563136779	305.280759023672	220.505148624354
chr1	6437829	6448675	INT	TE_00012	421.405426403631	316.753324088712	225.141323208321	618.919597382749	766.613008950072	26.5235598408764	19.9366814470405	14.1705563920535	38.9552434527717	48.2511727274388
chr1	7037012	7037296	INT	TE_00013	22.1210197587208	44.3454653724196	50.5419296998273	28.6205594165433	41.3454207074196	53.1726239388832	106.593854142409	121.48838753308	68.7956640053345	99.3826021968921
chr1	7037297	7037633	DM	TE_00014	141.574526455813	36.2003798958528	43.1903762889433	53.6635489060187	55.1272276098928	287.638575212244	73.5487234607488	87.7503786142613	109.028842508454	112.002615174275
chr1	7037634	7037978	INT	TE_00015	30.9694276622091	44.7979701211178	41.3524879362223	23.8504661804528	41.3454207074196	61.457660692151	88.8998814388935	82.0624520440148	47.3303502362282	82.0484273951086
chr1	7302612	7302617	INT	TE_00016	15.4847138311045	2.2625237434908	5.51366505816297	3.57756992706792	3.4454517256183	2114.14352780999	308.904638535145	752.786226750429	488.449214437875	470.410983731956
chr1	7302618	7303582	DM	TE_00017	102.862741878052	130.32136762507	135.084793924993	112.097191048128	63.7408569239386	72.8420821303829	92.2868629648566	95.6600754947381	79.3814421804292	45.1379833975165
chr1	7303583	7309926	INT	TE_00018	241.119115370056	284.625486931142	310.603131609848	391.147645359425	695.981248574897	25.9500511848032	30.6323534035324	33.428155005734	42.0966268158135	74.9038457463779
chr1	7441519	7442268	INT	TE_00019	99.5445889142434	36.2003798958528	11.0273301163259	88.2467248676752	60.2954051983203	90.727120686105	32.9938198702425	10.0505504239043	80.4299997071712	54.9545541742939
chr1	7661434	7662103	INT	TE_00020	151.528985347237	61.0881410742515	74.4344782852001	89.4392481766979	94.7499224545032	154.621857415102	62.3350167447602	75.9537672730254	91.2648009039378	96.6838718432644
chr1	8571914	8571940	INT	TE_00021	9.95445889142434	10.8601139687558	17.4599393508494	11.9252330902264	10.3363551768549	261.363897668818	285.142743263211	458.427509880069	313.10847079351	271.390952153051
chr1	8571941	8572581	DM	TE_00022	160.377393250726	87.3334164987448	104.759636105097	77.5140150864715	86.1362931404575	171.066301078376	93.1540550582547	111.741705533267	82.6802055689111	91.8771452601476
chr1	8572582	8572590	INT	TE_00023	2.21210197587208	18.5526946966245	22.0546602326519	4.77009323609055	8.61362931404575	188.762814983035	1583.13627249262	1881.96556687607	407.041012031563	735.017162081181
chr1	9314031	9314489	INT	TE_00024	13.2726118552325	10.4076092200577	3.67577670544198	26.235512798498	46.5135982958471	19.7830024436369	15.512678354385	5.47879349891142	39.1043767017222	69.3291296984869
chr1	9691815	9692699	INT	TE_00025	199.089177828487	88.2384259961411	25.7304369380939	150.257936936852	96.4726483173124	153.743469216952	68.1407290886349	19.8699230288575	116.034315647007	74.4994770616219
chr1	9879468	9879956	INT	TE_00026	148.210832383429	45.2504748698159	4.59472088180248	102.557004575947	58.5726793355111	207.329649243662	63.3001308473658	6.42747802894834	143.465274732436	81.9363393795415
chr1	9942818	9943679	INT	TE_00027	141.574526455813	83.7133785091595	8.27049758724446	88.2467248676752	89.5817448660758	112.249200082827	66.373238245066	6.55737131315705	69.9675607208725	71.0260486471013
chr1	10021675	10022274	INT	TE_00028	65.2570082882263	26.6977801731914	22.9736044090124	53.6635489060187	65.4635827867477	74.370658323867	30.426333344864	26.1820473967178	61.1580819413032	74.6060825618294
chr1	10466693	10467388	INT	TE_00029	11.0605098793604	2.71502849218896	0.918944176360496	25.0429894894754	37.8999689818013	10.8640469054984	2.66680263483579	0.902621375000514	24.5981618781664	37.2267684967735
chr1	10640603	10641071	INT	TE_00030	118.347455709156	19.4577041940209	24.8114927617334	75.1289684684262	68.909034512366	172.629241052861	28.3822637970326	36.1916455168476	109.587964777728	100.515167464093
chr1	10842815	10843639	INT	TE_00031	218.998095611336	53.3955603463828	60.6503156397927	93.0168181037658	120.590810396641	181.432220226413	44.236343867897	50.2466534845554	77.0611624719948	99.9052453314226
chr1	10868036	10868913	INT	TE_00032	137.150322504069	133.941405614655	166.32889592125	257.58503474889	292.863396677555	106.757532761215	104.25971836534	129.47007510626	200.503668412355	227.964273758359
chr1	11072111	11072649	INT	TE_00033	23.2270707466568	7.69258072786871	26.6493811144544	35.7756992706792	48.2363241586562	29.4722610754181	9.76092723995812	33.8147468645639	45.394908405007	61.2058900766485
chr1	11241067	11241789	INT	TE_00034	57.514651372674	33.4853514036638	11.0273301163259	48.8934556699282	93.0271965916941	54.3804231530074	31.6605862210537	10.4264020325544	46.2290346074628	87.9577324152549
chr1	11267721	11267937	INT	TE_00035	47.5601924812496	67.8757123047239	78.1102549906421	70.3588752323357	65.4635827867477	150.311130449454	214.517110093851	246.862767259979	222.364997313539	206.893719696925
chr1	11267938	11268309	PU	TE_00036	307.482174646219	53.3955603463828	64.3260923452347	189.6112061346	173.995312143724	565.779650299556	98.2499928494532	118.362614268935	348.892296027054	320.158418847221
chr1	11268310	11268482	INT	TE_00037	88.4840790348831	56.1105888385718	78.1102549906421	77.5140150864715	67.1863086495568	351.186632526577	222.69869289743	310.013707721834	307.647276535483	266.657389034103
chr1	11320098	11320819	INT	TE_00038	75.2114671796506	97.2885209701043	220.546602326519	162.183170027079	218.786184576762	71.2114919214779	92.1144206450155	208.817261234516	153.557774303169	207.150467870868
chr1	11385794	11386514	INT	TE_00039	120.559557685028	209.962203395946	299.575801493522	193.188776061667	129.204439710686	114.306371295282	199.071878167093	284.037395741481	183.168455414203	122.502860346863
chr1	11457084	11457448	DM	TE_00040	314.118480573835	76.9258072786871	86.3807525778866	132.370087301513	110.254455219786	589.105928078923	144.268649865315	162.000698980175	248.250287557711	206.774058783277
chr1	11457449	11457674	INT	TE_00041	124.983761636772	38.9154083880417	33.0819903489779	83.4766316315847	39.6226948446104	379.203521654808	118.070217395655	100.371496900057	253.269963041861	120.216140287055
chr1	11738375	11739038	INT	TE_00042	77.4235691555227	79.6408357708761	45.9472088180248	46.5084090518829	62.0181310611294	79.7188358902713	82.0018346639299	47.3093405448988	47.8871778860662	63.8566946242474
chr1	12634697	12635056	INT	TE_00043	7.74235691555227	2.2625237434908	2.75683252908149	19.0803729443622	20.6727103537098	14.7224479652507	4.30229301580982	5.24224391887486	36.282207200585	39.3101100611662
chr1	12681792	12681974	INT	TE_00044	12.1665608672964	19.4577041940209	42.2714321125828	27.4280361075207	41.3454207074196	45.6349662596349	72.9829640495123	158.553875597618	102.878497546439	155.080544087458
chr1	12681975	12682575	PU	TE_00045	97.3324869383714	61.0881410742515	184.70777944846	89.4392481766979	144.708972475969	110.740851456714	69.5035436704077	210.152821634495	101.760253007891	164.643844306184
chr1	12682576	12682608	INT	TE_00046	11.0605098793604	10.8601139687558	32.1630461726174	4.77009323609055	22.395436216519	235.953518728794	231.678478901359	686.133279590235	101.760253007891	477.761155352768
chr1	12734270	12734505	INT	TE_00047	51.9843964329938	115.388710918031	109.354356986899	127.599994065422	84.4135672776483	151.010251986428	335.194395006221	317.665109869862	370.667134360657	245.2142362007
chr1	12734506	12735373	PU	TE_00048	303.057970694475	209.05719389855	197.572997917507	570.026141712821	401.395126034532	238.620582723652	164.606623994506	155.564243321167	448.824922147836	316.048901988309
chr1	12735374	12735431	INT	TE_00049	9.95445889142434	43.8929606237215	61.5692598161532	41.7383158157924	39.6226948446104	119.218619989285	525.679823472089	737.378321524543	499.874927056305	474.537395869955
chr1	12752935	12753292	INT	TE_00050	15.4847138311045	42.0829416289288	34.0009345253383	29.813082725566	20.6727103537098	29.6098533306722	80.4709562570546	65.0165508631323	57.0085451024597	39.5303347673912
chr1	12753293	12753804	DM	TE_00051	74.1054161917146	142.53899583992	122.219575455946	62.0112120691772	51.6817758842745	98.9988931809265	190.420667590158	163.275551464134	82.8420063625881	69.0427079841422
chr1	12780984	12781033	INT	TE_00052	3.31815296380811	1.81001899479264	2.75683252908149	7.15513985413583	6.8909034512366	46.2276281591107	25.2167051865425	38.4074605484913	99.6835131505867	96.0022415779501
chr1	12781034	12781574	DM	TE_00053	27.651274698401	11.7651234661521	16.5409951744889	33.3906526526339	32.7317913933739	34.9560768487102	14.8731862998403	20.9107285208453	42.2116605069769	41.378743939385
chr1	12781575	12781768	INT	TE_00054	7.74235691555227	4.52504748698159	2.75683252908149	14.3102797082717	20.6727103537098	27.3852788576424	16.0054216857588	9.75111692681903	50.6164989054793	73.120878300304
chr1	12797560	12797616	INT	TE_00055	5.53025493968019	17.1951804505301	12.8652184690469	9.54018647218111	8.61362931404575	67.4152910653697	209.613861863134	156.830463906339	116.297432009018	105.002451725883
